combination,feature_completeness,identity_completeness,import_readiness,issues,pairing_confidence,schema_readiness,technical_completeness
FBA125BVMA9/RZF125DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA140BVMA9/RZF140DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA100BVMA9/RZF100CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA125BVMA9/RZF125CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA140BVMA9/RZF140CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA71BVMA9/RZF71DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA100BVMA9/RZF100DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA125BVMA9/RZF125DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA140BVMA9/RZF140DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA100BVMA9/RZF100CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA125BVMA9/RZF125CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA140BVMA9/RZF140CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA50AMVM/RZF50DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA60AMVM/RZF60DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA71AMVM/RZF71DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA100AMVM/RZF100DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA125AMVM/RZF125DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA140AMVM/RZF140DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA100AMVM/RZF100CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA125AMVM/RZF125CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA140AMVM/RZF140CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA71AMVM/RZF71DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA100AMVM/RZF100DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA125AMVM/RZF125DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA140AMVM/RZF140DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA100AMVM/RZF100CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA125AMVM/RZF125CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA140AMVM/RZF140CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA50DVMV/RZF50DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA60DVMV/RZF60DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA71DVMV/RZF71DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA100CVMV/RZF100CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA125CVMA/RZF125CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA140CVMA/RZF140CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA71DVMV/RZF71DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA100CVMV/RZF100CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA125CVMA/RZF125CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA140CVMA/RZF140CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF50AVM/RZA50DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF50CVM/RZA50DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF60AVM/RZA60DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF60CVM/RZA60DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF71AVM/RZA71DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF71CVM/RZA71DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF100AVM/RZA100DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF100CVM/RZA100DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF125AVM/RZA125DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF125CVM/RZA125DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF140AVM/RZA140DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF140CVM/RZA140DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA50BVMA9/RZA50DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA60BVMA9/RZA60DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA71BVMA9/RZA71DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA100BVMA9/RZA100DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA125BVMA9/RZA125DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA140BVMA/RZA140DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA100BVMA9/RZA100DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA125BVMA9/RZA125DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA140BVMA9/RZA140DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF100AVM/RZA100DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF100CVM/RZA100DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF125AVM/RZA125DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF125CVM/RZA125DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF140AVM/RZA140DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF140CVM/RZA140DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA50AMVM/RZA50DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA60AMVM/RZA60DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA71AMVM/RZA71DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA100AMVM/RZA100DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA125AMVM/RZA125DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA140AMVM/RZA140DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA50CVMV/RZA50DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA60CVMV/RZA60DV2V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA71CVMV/RZA71DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA100CVMV/RZA100DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA125CVMA/RZA125DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA140CVMA/RZA140DV1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA100AMVM/RZA100DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA125AMVM/RZA125DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FVA140AMVM/RZA140DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA100CVMV/RZA100DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA125CVMA/RZA125DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FHA140CVMA/RZA140DY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC40DVM/RZFC40EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC50DVM/RZFC50EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC60DVM/RZFC60EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC71DVM/RZFC71EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC85DVM/RZFC85EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC100DVM/RZFC100EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG50AV1V/RZFC50AV1V,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG60AV1V/RZFC60AGV19,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG71AV1V/RZFC71AGV19,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG85AV1V/RZFC85AGV19,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG100AV1V/RZFC100AV19,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG125AV1V/RZFC125AY19,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFG140AV1V/RZFC140AY19,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC71DVM/RZFC71EY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC85DVM/RZFC85EY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC100DVM/RZFC100EY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC125DVM/RZFC125EY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCFC140DVM/RZFC140EY1,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FFFC35AVM/RZFC35EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FFFC50AVM/RZFC50EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FFFC60AVM/RZFC60EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FFFC71AVM/RZFC71EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBFC40DVM9/RZFC40EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBFC50DVM9/RZFC50EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBFC60DVM9/RZFC60EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBFC71DVM9/RZFC71EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBFC85DVM9/RZFC85EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBFC100DVM9/RZFC100EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FDLF40DV1/RZFC40EVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
