series,indoor_model,outdoor_model,system_model,cooling_heating_type,inverter,hp_class,market_channel,source_page,confidence,notes
FTKB,FTKB50ZVMV,RKB50ZVMV,FTKB50ZVMV/RKB50ZVMV,COOLING_ONLY,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,45,VERIFIED,Paired from the same technical-table column.
FTXM,FTXM50XVMV,RXM50XVMV,FTXM50XVMV/RXM50XVMV,HEAT_PUMP,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,45,VERIFIED,Paired from the same technical-table column.
FTXV,FTXV50QVMV,RXV50QVMV,FTXV50QVMV/RXV50QVMV,HEAT_PUMP,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,45,VERIFIED,Paired from the same technical-table column.
FTKM,FTKM60AVMV,RKM60AVMV,FTKM60AVMV/RKM60AVMV,COOLING_ONLY,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,46,VERIFIED,Paired from the same technical-table column.
FTKY,FTKY60ZVMV,RKY60ZVMV,FTKY60ZVMV/RKY60ZVMV,COOLING_ONLY,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,46,VERIFIED,Paired from the same technical-table column.
FTKZ,FTKZ60VVMV,RKZ60VVMV,FTKZ60VVMV/RKZ60VVMV,COOLING_ONLY,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,46,VERIFIED,Paired from the same technical-table column.
FTHB,FTHB60ZVMV,RHB60ZVMV,FTHB60ZVMV/RHB60ZVMV,HEAT_PUMP,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,47,VERIFIED,Paired from the same technical-table column.
FTHF,FTHF60AVMV,RHF60AVMV,FTHF60AVMV/RHF60AVMV,HEAT_PUMP,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,47,VERIFIED,Paired from the same technical-table column.
FTKB,FTKB60ZVMV,RKB60ZVMV,FTKB60ZVMV/RKB60ZVMV,COOLING_ONLY,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,47,VERIFIED,Paired from the same technical-table column.
FTKF,FTKF60ZVMV,RKF60ZVMV,FTKF60ZVMV/RKF60ZVMV,COOLING_ONLY,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,47,VERIFIED,Paired from the same technical-table column.
FTXM,FTXM60XVMV,RXM60XVMV,FTXM60XVMV/RXM60XVMV,HEAT_PUMP,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,47,VERIFIED,Paired from the same technical-table column.
FTXV,FTXV60QVMV,RXV60QVMV,FTXV60QVMV/RXV60QVMV,HEAT_PUMP,YES,2.5 HP,TRADITIONAL_AND_SUPERMARKET,47,VERIFIED,Paired from the same technical-table column.
FTKM,FTKM71AVMV,RKM71AVMV,FTKM71AVMV/RKM71AVMV,COOLING_ONLY,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,48,VERIFIED,Paired from the same technical-table column.
FTKY,FTKY71ZVMV,RKY71ZVMV,FTKY71ZVMV/RKY71ZVMV,COOLING_ONLY,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,48,VERIFIED,Paired from the same technical-table column.
FTKZ,FTKZ71VVMV,RKZ71VVMV,FTKZ71VVMV/RKZ71VVMV,COOLING_ONLY,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,48,VERIFIED,Paired from the same technical-table column.
FTF,FTF85XV1V,RF85XV1V,FTF85XV1V/RF85XV1V,COOLING_ONLY,NO,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,49,VERIFIED,Paired from the same technical-table column.
FTHF,FTHF71AVMV,RHF71AVMV,FTHF71AVMV/RHF71AVMV,HEAT_PUMP,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,49,VERIFIED,Paired from the same technical-table column.
FTKF,FTKF71ZVMV,RKF71ZVMV,FTKF71ZVMV/RKF71ZVMV,COOLING_ONLY,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,49,VERIFIED,Paired from the same technical-table column.
FTXM,FTXM71XVMV,RXM71XVMV,FTXM71XVMV/RXM71XVMV,HEAT_PUMP,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,49,VERIFIED,Paired from the same technical-table column.
FTXV,FTXV71QVMV,RXV71QVMV,FTXV71QVMV/RXV71QVMV,HEAT_PUMP,YES,3-3.5 HP,TRADITIONAL_AND_SUPERMARKET,49,VERIFIED,Paired from the same technical-table column.
