indoor_model,outdoor_model,series,feature_key,availability,condition,source_page,confidence
FTKM25AVMV,RKM25AVMV,FTKM,smartphone_control,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,backlit_remote,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,child_lock,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,timer,YES,24H,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,super_pcb,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,anti_corrosion_fin,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,microchannel,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,dual_power_supply,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,hybrid_cooling,NO,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,humidity_sensor,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,humi_comfort,NO,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,humi_comfort_plus,NO,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,streamer,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,anti_mold_streamer,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,anti_mold_indoor,NO,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,enzyme_blue_pm25,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,powerful,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,indoor_quiet,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,outdoor_quiet,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,night_mode,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,comfort_sleep,NO,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,comfort_airflow,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,airflow_3d,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,intelligent_eye,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,standby_saving,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,econo,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,smartphone_control,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,backlit_remote,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,child_lock,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,timer,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,super_pcb,YES,,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,anti_corrosion_fin,YES,25/35 only,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,microchannel,NO,50/60/71 only,4-5,VERIFIED
FTKY25ZVMV,RKY25ZVMV,FTKY,dual_power_supply,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,hybrid_cooling,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,humidity_sensor,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,humi_comfort,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,humi_comfort_plus,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,streamer,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,anti_mold_streamer,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,anti_mold_indoor,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,enzyme_blue_pm25,NO,50/60/71 only,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,powerful,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,indoor_quiet,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,outdoor_quiet,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,night_mode,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,comfort_sleep,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,comfort_airflow,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,airflow_3d,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,intelligent_eye,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,standby_saving,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,econo,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,smartphone_control,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,backlit_remote,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,child_lock,NO,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,timer,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,super_pcb,YES,,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,anti_corrosion_fin,YES,25/35/50 only,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,microchannel,NO,60/71 only,4-5,VERIFIED
FTKF25ZVMV,RKF25ZVMV,FTKF,dual_power_supply,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,hybrid_cooling,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,humidity_sensor,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,humi_comfort,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,humi_comfort_plus,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,streamer,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,anti_mold_streamer,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,anti_mold_indoor,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,enzyme_blue_pm25,OPTIONAL,Tùy chọn,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,powerful,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,indoor_quiet,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,outdoor_quiet,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,night_mode,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,comfort_sleep,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,comfort_airflow,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,airflow_3d,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,intelligent_eye,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,standby_saving,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,econo,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,smartphone_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,backlit_remote,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,child_lock,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,timer,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,super_pcb,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,anti_corrosion_fin,YES,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,microchannel,NO,,4-5,VERIFIED
FTHB25ZVMV,RHB25ZVMV,FTHB,dual_power_supply,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,hybrid_cooling,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,humidity_sensor,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,humi_comfort,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,humi_comfort_plus,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,streamer,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,anti_mold_streamer,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,anti_mold_indoor,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,enzyme_blue_pm25,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,powerful,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,indoor_quiet,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,outdoor_quiet,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,night_mode,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,comfort_sleep,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,comfort_airflow,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,airflow_3d,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,intelligent_eye,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,standby_saving,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,econo,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,smartphone_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,backlit_remote,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,child_lock,NO,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,timer,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,super_pcb,YES,,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,anti_corrosion_fin,YES,25/35/50 only,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,microchannel,NO,60 only,4-5,VERIFIED
FTKB25ZVMV,RKB25ZVMV,FTKB,dual_power_supply,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,hybrid_cooling,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,humidity_sensor,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,humi_comfort,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,humi_comfort_plus,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,streamer,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,anti_mold_streamer,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,anti_mold_indoor,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,enzyme_blue_pm25,OPTIONAL,Tùy chọn,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,powerful,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,indoor_quiet,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,outdoor_quiet,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,night_mode,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,comfort_sleep,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,comfort_airflow,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,airflow_3d,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,intelligent_eye,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,standby_saving,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,econo,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,smartphone_control,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,backlit_remote,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,child_lock,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,timer,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,super_pcb,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,anti_corrosion_fin,YES,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,microchannel,NO,,4-5,VERIFIED
FTF25XAV1V,RF25XAV1V,FTF,dual_power_supply,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,hybrid_cooling,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,humidity_sensor,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,humi_comfort,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,humi_comfort_plus,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,streamer,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,anti_mold_streamer,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,anti_mold_indoor,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,enzyme_blue_pm25,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,powerful,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,indoor_quiet,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,outdoor_quiet,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,night_mode,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,comfort_sleep,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,comfort_airflow,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,airflow_3d,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,intelligent_eye,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,intelligent_eye_2_area,YES,25/35 only,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,standby_saving,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,econo,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,smartphone_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,backlit_remote,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,child_lock,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,timer,YES,24H,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,super_pcb,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,anti_corrosion_fin,YES,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,microchannel,NO,,4-5,VERIFIED
FTXM25XVMV,RXM25XVMV,FTXM,dual_power_supply,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,hybrid_cooling,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,humidity_sensor,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,humi_comfort,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,humi_comfort_plus,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,streamer,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,anti_mold_streamer,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,anti_mold_indoor,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,enzyme_blue_pm25,NO,Enzyme Blue; catalog does not mark PM2.5,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,powerful,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,indoor_quiet,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,outdoor_quiet,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,night_mode,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,comfort_sleep,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,comfort_airflow,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,airflow_3d,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,intelligent_eye,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,intelligent_eye_2_area,YES,25/35 only,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,standby_saving,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,econo,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,smartphone_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,backlit_remote,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,child_lock,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,timer,YES,24H,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,super_pcb,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,anti_corrosion_fin,YES,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,microchannel,NO,,4-5,VERIFIED
FTXV25QVMV,RXV25QVMV,FTXV,dual_power_supply,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,hybrid_cooling,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,humidity_sensor,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,humi_comfort,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,humi_comfort_plus,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,streamer,YES,25/35 only,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,anti_mold_streamer,YES,25/35 only,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,anti_mold_indoor,NO,50/60/71 only,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,enzyme_blue_pm25,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,powerful,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,indoor_quiet,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,outdoor_quiet,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,night_mode,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,comfort_sleep,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,comfort_airflow,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,airflow_3d,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,intelligent_eye,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,standby_saving,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,econo,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,smartphone_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,backlit_remote,NO,50/60/71 only,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,child_lock,NO,50/60/71 only,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,timer,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,super_pcb,YES,25/35 only,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,anti_corrosion_fin,YES,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,microchannel,NO,,4-5,VERIFIED
FTHF25XVMV,RHF25XVMV,FTHF,dual_power_supply,NO,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,hybrid_cooling,NO,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,humidity_sensor,NO,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,humi_comfort,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,humi_comfort_plus,NO,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,streamer,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,anti_mold_streamer,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,anti_mold_indoor,NO,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,enzyme_blue_pm25,YES,25/35 only,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,powerful,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,indoor_quiet,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,outdoor_quiet,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,night_mode,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,comfort_sleep,NO,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,comfort_airflow,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,airflow_3d,YES,,4-5,VERIFIED
ATKF25ZVMV,ARKF25ZVMV,ATKF,intelligent_eye,NO,,4-5,VERIFIED
