series,catalog_matrix_group,feature_key,feature_name_vi,feature_name_en,category,availability,condition,source_page,confidence
ATKB,FTKB_ATKB,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTHB,FTHB,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTF,FTF,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTXM,FTXM,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTXV,FTXV,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTHF,FTHF,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTKZ,FTKZ,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTKM,FTKM,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTKY,FTKY,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTHB,FTHB,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTF,FTF,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTXM,FTXM,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTXV,FTXV,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTHF,FTHF,night_mode,Chế độ ngủ ban đêm,Chế độ ngủ ban đêm,comfort,YES,,4-5,VERIFIED
FTKZ,FTKZ,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTKM,FTKM,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,YES,,4-5,VERIFIED
FTKY,FTKY,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTHB,FTHB,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTF,FTF,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTXM,FTXM,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTXV,FTXV,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTHF,FTHF,comfort_sleep,Chế độ ngủ thoải mái,Chế độ ngủ thoải mái - Comfort Sleep,comfort,NO,,4-5,VERIFIED
FTKZ,FTKZ,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTKM,FTKM,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTKY,FTKY,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTHB,FTHB,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTF,FTF,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTXM,FTXM,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTXV,FTXV,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTHF,FTHF,comfort_airflow,Luồng gió thoải mái,Luồng gió thoải mái,airflow,YES,,4-5,VERIFIED
FTKZ,FTKZ,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
FTKM,FTKM,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
FTKY,FTKY,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,NO,,4-5,VERIFIED
FTHB,FTHB,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,NO,,4-5,VERIFIED
FTF,FTF,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,NO,,4-5,VERIFIED
FTXM,FTXM,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
FTXV,FTXV,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,YES,,4-5,VERIFIED
FTHF,FTHF,airflow_3d,Đảo gió ngang và dọc,Luồng gió 3D,airflow,NO,,4-5,VERIFIED
FTKZ,FTKZ,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,YES,,4-5,VERIFIED
FTKM,FTKM,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,YES,,4-5,VERIFIED
FTKY,FTKY,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,NO,,4-5,VERIFIED
FTHB,FTHB,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,NO,,4-5,VERIFIED
FTF,FTF,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,NO,,4-5,VERIFIED
FTXM,FTXM,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,YES,,4-5,VERIFIED
FTXV,FTXV,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,YES,,4-5,VERIFIED
FTHF,FTHF,intelligent_eye,Cảm biến hiện diện tiết kiệm năng lượng,Mắt thần thông minh tiêu chuẩn,energy,YES,,4-5,VERIFIED
